# ATT=VALUE	PATTERN	WITHOUT
# ^^^^^^^^^^^^^^^^^^ first line: column declarations for Visual Code Editor
# ------------------------
# AS 18.4.24
# ------------------------
# Examples from the documentation:
# either a past particle verb or an adjective
#    N [upos=VERB, VerbForm=Part, Tense=Past]|[upos=ADJ]
# A node with either a upos ADV (and no ExtPos) or an ExtPos ADV
#    N [upos=ADV, !ExtPos]|[ExtPos=ADV]
# ------------------------
# HOW TO USE:
# - Respect the 3-column format with TAB separators:
#   - col 1: attribute=value
#   - col 1: Grew Pattern
#   - col 3: Grew Without Pattern (optional)
# - Use Patterns and Without statements as documented for grew
# - Use "V" for the reference node (normally the verb). The script relies on one node being "V"
# - Use any node for the dependent node and --keep_target_node_info to include the second node in the coding
# - the verb node is constrained by its categroy:  V [upos="VERB", !xpos]|[xpos=re"V.*"]
#     where VER.* is for Cattex pos and V.* for HOPS output
# - regular expressions don't support '|' within the regex. disjunction must be applied at feature level   
# - Use --first_rule to stop rule application for an attribute after first match (CorpusSearch behaviour)
# - Avoid 'null' as value because it is read as 'NaN' and not as string on input.
# ------------------------
#
# type of clause
dobj=pro	V -[re"obj.*"]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C [upos=re"PRO.*"]
dobj=lex	V -[re"obj.*"]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C [upos<>re"PRO.*"]
#
iobj=clit-3	V -[iobj]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C [upos=re"PRO.*"]; C [form=re"[lL].*"]
iobj=clit-12	V -[iobj]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C [upos=re"PRO.*"]; C [form=re"[mtnvMTNV].*"]
iobj=pro	V -[iobj]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C [upos=re"PRO.*"]
iobj=lex	V -[re"obl.*"]-> N; V [upos="VERB", !xpos]|[xpos=re"V.*"]; N -["case"]-> P; P [lemma="à.le"]
#
# prepositional complement (!! lexical IO are obl:arg, datives as well as locatives!!)
pobj_mod=pro	V -[obl:mod]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos=re"PRO.*"]
pobj_mod=lex	V -[obl:mod]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos<>re"PRO.*"]
pobj_arg=pro	V -[obl:arg]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos=re"PRO.*"]
pobj_arg=lex	V -[obl:arg]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos<>re"PRO.*"]
pobj_agent=pro	V -[obl:agent]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos=re"PRO.*"]
pobj_agent=lex	V -[obl:agent]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos<>re"PRO.*"]
pobj_other=pro	V -[^obl:agent|obl:arg|obl:mod]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos=re"PRO.*"]
pobj_other=lex	V -[^obl:agent|obl:arg|obl:mod]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[case]-> P; C [upos<>re"PRO.*"]
#
# clausal objects
cpobj=que	V -[ccomp]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[mark]-> P; P [form=re"[Qq].*"]
cpobj=other	V -[ccomp]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]
ipobj=de	V -[xcomp]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[mark]-> P; P [form=re"[Dd].*"]
ipobj=a	V -[xcomp]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]; C -[mark]-> P; P [form=re"[àÀA].*"]
ipobj=other	V -[xcomp]-> C; V [upos="VERB", !xpos]|[xpos=re"V.*"]
#
# copula: the predicative complement is root. root dominates cop and nsubj
dobj=pred	C -[cop]-> V
# subj=pred	C -[cop]-> V; C -[nsubj]-> S
#
# ----  auxiliary
# aux=sister	V -[aux:tense]-> A; V -[aux:pass]-> B
aux=avoir	V -[aux:tense]-> AUX; AUX [lemma="avoir"]
aux=estre	V -[aux:tense]-> AUX; AUX [lemma="être"]
#
# ---- reflexive    some may be tagged as obl.*
refl=3	V -[re"expl:.*"]-> C; C [lemma="se"]|[form=re"[sS].*"]
refl=3other	V -[re".*"]-> C; C [lemma="se"]; C [form=re"[sS].*"]
refl=12	V -[re"expl:.*"]-> C; C [lemma<>"se"]|[lemma<>"s'"]
#
# STOP
# (nothing is processed after STOP)
